Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1988","tonnes","114"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1989","tonnes","516"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1990","tonnes","204"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1991","tonnes","544"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1992","tonnes","174"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1993","tonnes","919"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1994","tonnes","331"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1995","tonnes","82"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1996","tonnes","131"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1997","tonnes","157"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1998","tonnes","646"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1999","tonnes","1715"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2000","tonnes","1601"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2001","tonnes","1616"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2002","tonnes","2252"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2003","tonnes","2724"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2004","tonnes","4197"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2005","tonnes","2564"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2006","tonnes","2385"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2007","tonnes","805"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2008","tonnes","731"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2009","tonnes","709"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2010","tonnes","608"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2011","tonnes","400"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2012","tonnes","1520"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2013","tonnes","1852"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2014","tonnes","2040"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2015","tonnes","2365"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2016","tonnes","2085"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2017","tonnes","3279"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2018","tonnes","2261"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2019","tonnes","2813"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","2020","tonnes","3683"
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1961","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1962","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1963","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1964","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1965","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1966","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1967","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","1968","tonnes",""
