,country,Year,population,rural_population,coffee_production_tonnes,rural_pop_percent,total_pop_percent
4566,Viet Nam,2009,87092252.0,61504167.0,1057540.0,70.61956211673112,29.380437883268883
2156,Indonesia,2009,238620563.0,121743839.0,682591.0,51.01984400229581,48.98015599770419
795,Colombia,2009,44750054.0,10179227.0,468720.0,22.746848528942557,77.25315147105744
281,Brazil,2010,195713635.0,30827251.0,2907265.0,15.751202515859461,84.24879748414054
4567,Viet Nam,2010,87967651.0,61561816.0,1105700.0,69.98233475621623,30.017665243783767
2157,Indonesia,2010,241834215.0,121471143.0,684076.0,50.22909723506246,49.77090276493754
796,Colombia,2010,45222700.0,10118665.0,535380.0,22.37518989357115,77.62481010642885
282,Brazil,2011,197514536.0,30536433.0,2700540.0,15.460347181738562,84.53965281826143
4568,Viet Nam,2011,88871380.0,61639703.0,1276506.0,69.35832773160493,30.64167226839507
2158,Indonesia,2011,245115987.0,121392687.0,638600.0,49.52458976084657,50.47541023915343
797,Colombia,2011,45662748.0,10054003.0,468540.0,22.017954328986068,77.98204567101394
283,Brazil,2012,199287299.0,30238865.0,3037534.0,15.17350335507332,84.82649664492668
4569,Viet Nam,2012,89801926.0,61731739.0,1260463.0,68.7421102750068,31.257889724993206
2159,Indonesia,2012,248451722.0,121265363.0,691163.0,48.808421219153395,51.191578780846605
798,Colombia,2012,46075718.0,9985405.0,462000.0,21.67172956480027,78.32827043519973
284,Brazil,2013,201035912.0,29937266.0,2964538.0,14.891501574106819,85.10849842589317
4570,Viet Nam,2013,90752592.0,61825502.0,1326688.0,68.12532913660472,31.87467086339528
2160,Indonesia,2013,251805307.0,121087842.0,675800.0,48.087883231150485,51.912116768849515
799,Colombia,2013,46495493.0,9913190.0,653160.0,21.32075468045903,78.67924531954097
285,Brazil,2014,202763739.0,29627255.0,2804070.0,14.611712698787823,85.38828730121217
4571,Viet Nam,2014,91713848.0,61898224.0,1406469.0,67.49059749406653,32.509402505933465
800,Colombia,2014,46967696.0,9837737.0,728400.0,20.945751735405544,79.05424826459446
2161,Indonesia,2014,255128076.0,120843234.0,643900.0,47.365713681782324,52.634286318217676
286,Brazil,2015,204471769.0,29308408.0,2647504.0,14.333718607383888,85.66628139261611
